Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Tink Hence","STL","AA",20,54.1,0.33766234,1.129629629,0.262820512,0.391025641,0.346153846,0.24074074,0.148148148,0.48447205,0.27950311,0.23602484,0.11961207,366,562,928,"sa3014709"
"Nick Trogrlic-Iverson","STL","AA",25,64.2,0.31632653,1.338709677,0.26395939,0.421319796,0.314720812,0.193548387,0.112903225,0.50490196,0.25,0.24509804,0.11180124,417,710,1127,"sa3014782"
"Wil Jensen","SFG","AA",25,89,0.28888889,0.807692307,0.189655172,0.362068965,0.448275862,0.173076923,0.096153846,0.46808511,0.22978723,0.30212766,0.1159322,562,913,1475,"sa3014786"
"Braden Zarbnisky","PHI","AA",26,39.1,0.28421053,0.632653061,0.191919191,0.313131313,0.494949494,0.285714285,0.122448979,0.5,0.19,0.31,0.12359551,234,389,623,"sa3014791"
"Cesar Gomez","HOU","AA",24,36.1,0.38211382,1.256410256,0.284552845,0.398373983,0.31707317,0.179487179,0.153846153,0.46875,0.2265625,0.3046875,0.10041265,294,433,727,"sa3014799"
"Shohei Tomioka","OAK","AA",27,44.2,0.35294118,1.741935483,0.273504273,0.461538461,0.264957264,0.129032258,0.064516129,0.36363636,0.24793388,0.38842975,0.10181818,327,498,825,"sa3014808"
"Robbie Peto","LAD","AA",24,35,0.35454545,0.933333333,0.24347826,0.365217391,0.391304347,0.155555555,0.177777777,0.46153846,0.26495726,0.27350427,0.09601182,278,399,677,"sa3014848"
"Stevie Branche","CIN","AA",26,41.1,0.29545455,0.923076923,0.147727272,0.409090909,0.443181818,0.23076923,0.051282051,0.31111111,0.28888889,0.4,0.13878563,345,462,807,"sa3014866"
"Joe Jones","BOS","AA",27,37.1,0.26315789,1.095238095,0.092783505,0.474226804,0.43298969,0.214285714,0.095238095,0.45454545,0.29292929,0.25252525,0.1025641,267,396,663,"sa3014870"
"Ryan Murphy","SFG","AA",23,107.1,0.30526316,0.763358778,0.206185567,0.343642611,0.450171821,0.213740458,0.114503816,0.43708609,0.28145695,0.28145695,0.10397878,724,1161,1885,"sa3014871"
"TJ Shook","MIL","AA",25,97.1,0.28340081,1.101010101,0.171314741,0.434262948,0.39442231,0.212121212,0.131313131,0.4789272,0.2183908,0.30268199,0.1270648,572,1002,1574,"sa3014915"
"Cole Percival","LAA","AA",24,49.1,0.33766234,1.948717948,0.248366013,0.496732026,0.25490196,0.23076923,0.102564102,0.42038217,0.24203822,0.33757962,0.10590858,366,531,897,"sa3014919"
"Dane Acker","TEX","AA",24,46,0.25663717,0.96,0.155172413,0.413793103,0.431034482,0.28,0.08,0.4017094,0.26495726,0.33333333,0.09722222,350,514,864,"sa3014924"
"Blane Abeyta","NYY","AA",24,127,0.31372549,0.98013245,0.19839142,0.396782841,0.404825737,0.165562913,0.119205298,0.464,0.28533333,0.25066667,0.12109563,721,1360,2081,"sa3014975"
"Blake Goldsberry","COL","AA",26,44.1,0.3047619,0.634615384,0.24778761,0.292035398,0.460176991,0.25,0.153846153,0.38938053,0.32743363,0.28318584,0.12871287,304,504,808,"sa3014978"
