"bpid","mlbid","Name","Age","Season","Team","G","GS","CG","IP","W","L","SV","BS","HLD","ERA","R","ER","1B","2B","3B","HR","TB","BB","K","HBP","TBF","Pitches"
105831,660853,"Enyel De Los Santos",28,2024,,64,0,0,64,1,2,2,2,9,5.2,38,37,30,17,1,17,135,25,66,5,278,1127
106610,663978,"Chris Paddack",28,2024,"MIN",17,17,0,88.3,5,3,0,0,0,4.99,50,49,72,16,0,14,160,21,79,1,384,1460
108886,668678,"Zac Gallen",28,2024,"AZ",28,28,0,148,14,6,0,0,0,3.65,62,60,86,29,5,13,211,54,156,4,621,2502
108953,665152,"Dean Kremer",28,2024,"BAL",24,24,0,129.7,8,10,0,0,0,4.1,72,59,73,19,0,18,183,51,123,3,553,2171
108984,668338,"Tyson Miller",28,2024,,58,0,0,62,5,1,1,1,15,2.32,18,16,24,8,0,7,68,11,54,5,235,934
109456,674370,"Osvaldo Bido",28,2024,"OAK",16,9,0,63.3,5,3,0,0,1,3.41,25,24,28,12,0,3,64,26,63,7,259,1056
109650,676710,"Kutter Crawford",28,2024,"BOS",33,33,0,183.7,9,16,0,0,0,4.36,97,89,89,30,2,34,291,51,175,9,759,2822
109835,670102,"Bowden Francis",28,2024,"TOR",27,13,0,103.7,8,5,0,0,0,3.3,41,38,42,15,0,17,140,22,92,7,408,1558
110810,676664,"JP Sears",28,2024,"OAK",32,32,0,180.7,11,13,0,0,0,4.38,93,88,102,39,3,28,301,49,137,14,758,2857
111116,656557,"Tanner Houck",28,2024,"BOS",30,30,1,178.7,9,10,0,0,0,3.12,75,62,118,27,0,11,216,48,154,16,743,2735
111133,641927,"Bailey Ober",28,2024,"MIN",31,31,1,178.7,12,9,0,0,0,3.98,81,79,75,29,5,27,256,43,191,6,709,2696
111244,656849,"David Peterson",28,2024,"NYM",21,21,0,121,10,3,0,0,0,2.9,44,39,79,22,1,8,158,46,101,7,510,1871
111290,657376,"Clarke Schmidt",28,2024,"NYY",16,16,0,85.3,5,5,0,0,0,2.85,31,27,50,11,2,8,110,30,93,9,353,1454
111294,656288,"Griffin Canning",28,2024,"LAA",32,31,0,171.7,6,13,0,0,0,5.19,105,99,112,28,3,31,301,66,130,6,739,2869
123933,663947,"Tyler Holton",28,2024,"DET",66,9,0,94.3,7,2,8,0,15,2.19,25,23,38,10,2,7,92,17,77,4,354,1338
128329,673513,"Yuki Matsui",28,2024,"SD",64,0,0,62.7,4,2,0,4,9,3.73,27,26,25,10,3,8,86,27,69,0,257,1049
128959,656731,"Tylor Megill",28,2024,"NYM",16,15,0,78,4,5,0,0,0,4.04,39,35,46,15,1,8,111,32,91,4,337,1364
135535,657746,"Joe Ryan",28,2024,"MIN",23,23,0,135,7,7,0,0,0,3.6,59,54,61,24,6,19,203,23,147,5,538,2102
